src/pages/FeedbackQRManagement.tsx(212,3): error TS2305: Module '"lucide-react"' has no exported member 'GitForkVertical'.
src/pages/FeedbackQRManagement.tsx(213,3): error TS2724: '"lucide-react"' has no exported member named 'GitMergeVertical'. Did you mean 'MoreVertical'?
src/pages/FeedbackQRManagement.tsx(214,3): error TS2724: '"lucide-react"' has no exported member named 'GitPullRequestVertical'. Did you mean 'GitPullRequestIcon'?
src/pages/FeedbackQRManagement.tsx(216,3): error TS2724: '"lucide-react"' has no exported member named 'GitNetwork'. Did you mean 'Network'?
src/pages/FeedbackQRManagement.tsx(217,3): error TS2305: Module '"lucide-react"' has no exported member 'GitBranchCreate'.
src/pages/FeedbackQRManagement.tsx(218,3): error TS2305: Module '"lucide-react"' has no exported member 'GitBranchDelete'.
src/pages/FeedbackQRManagement.tsx(219,3): error TS2305: Module '"lucide-react"' has no exported member 'GitBranchRename'.
src/pages/FeedbackQRManagement.tsx(220,3): error TS2724: '"lucide-react"' has no exported member named 'GitBranchMove'. Did you mean 'GitBranch'?
src/pages/FeedbackQRManagement.tsx(221,3): error TS2724: '"lucide-react"' has no exported member named 'GitBranchCopy'. Did you mean 'GitBranch'?
src/pages/FeedbackQRManagement.tsx(222,3): error TS2724: '"lucide-react"' has no exported member named 'GitBranchPaste'. Did you mean 'GitBranchPlus'?
src/pages/FeedbackQRManagement.tsx(223,3): error TS2724: '"lucide-react"' has no exported member named 'GitBranchCut'. Did you mean 'GitBranch'?
src/pages/FeedbackQRManagement.tsx(224,3): error TS2724: '"lucide-react"' has no exported member named 'GitBranchDrag'. Did you mean 'GitBranch'?
src/pages/FeedbackQRManagement.tsx(225,3): error TS2724: '"lucide-react"' has no exported member named 'GitBranchDrop'. Did you mean 'GitBranch'?
src/pages/FeedbackQRManagement.tsx(226,3): error TS2305: Module '"lucide-react"' has no exported member 'GitBranchSelect'.
src/pages/FeedbackQRManagement.tsx(227,3): error TS2305: Module '"lucide-react"' has no exported member 'GitBranchDeselect'.
src/pages/FeedbackQRManagement.tsx(228,3): error TS2724: '"lucide-react"' has no exported member named 'GitBranchAll'. Did you mean 'GitBranch'?
src/pages/FeedbackQRManagement.tsx(229,3): error TS2724: '"lucide-react"' has no exported member named 'GitBranchNone'. Did you mean 'GitBranch'?
src/pages/FeedbackQRManagement.tsx(230,3): error TS2724: '"lucide-react"' has no exported member named 'GitBranchInvert'. Did you mean 'GitBranchIcon'?
src/pages/FeedbackQRManagement.tsx(231,3): error TS2305: Module '"lucide-react"' has no exported member 'GitBranchExpand'.
src/pages/FeedbackQRManagement.tsx(232,3): error TS2305: Module '"lucide-react"' has no exported member 'GitBranchCollapse'.
src/pages/FeedbackQRManagement.tsx(233,3): error TS2724: '"lucide-react"' has no exported member named 'GitBranchSort'. Did you mean 'GitBranch'?
src/pages/FeedbackQRManagement.tsx(234,3): error TS2305: Module '"lucide-react"' has no exported member 'GitBranchFilter'.
src/pages/FeedbackQRManagement.tsx(235,3): error TS2305: Module '"lucide-react"' has no exported member 'GitBranchSearch'.
src/pages/FeedbackQRManagement.tsx(236,3): error TS2305: Module '"lucide-react"' has no exported member 'GitBranchClear'.
src/pages/FeedbackQRManagement.tsx(237,3): error TS2305: Module '"lucide-react"' has no exported member 'GitBranchRefresh'.
src/pages/FeedbackQRManagement.tsx(238,3): error TS2724: '"lucide-react"' has no exported member named 'GitBranchSync'. Did you mean 'GitBranch'?
src/pages/FeedbackQRManagement.tsx(239,3): error TS2724: '"lucide-react"' has no exported member named 'GitBranchPush'. Did you mean 'GitBranchPlus'?
src/pages/FeedbackQRManagement.tsx(240,3): error TS2724: '"lucide-react"' has no exported member named 'GitBranchPull'. Did you mean 'GitBranch'?
src/pages/FeedbackQRManagement.tsx(241,3): error TS2305: Module '"lucide-react"' has no exported member 'GitBranchFetch'.
src/pages/FeedbackQRManagement.tsx(242,3): error TS2305: Module '"lucide-react"' has no exported member 'GitBranchRebase'.
src/pages/FeedbackQRManagement.tsx(243,3): error TS2305: Module '"lucide-react"' has no exported member 'GitBranchCherryPick'.
src/pages/FeedbackQRManagement.tsx(244,3): error TS2724: '"lucide-react"' has no exported member named 'GitBranchSquash'. Did you mean 'GitBranchPlus'?
src/pages/FeedbackQRManagement.tsx(245,3): error TS2305: Module '"lucide-react"' has no exported member 'GitBranchAmend'.
src/pages/FeedbackQRManagement.tsx(246,3): error TS2305: Module '"lucide-react"' has no exported member 'GitBranchReset'.
src/pages/FeedbackQRManagement.tsx(247,3): error TS2305: Module '"lucide-react"' has no exported member 'GitBranchRevert'.
src/pages/FeedbackQRManagement.tsx(248,3): error TS2724: '"lucide-react"' has no exported member named 'GitBranchBisect'. Did you mean 'GitBranchIcon'?
src/pages/FeedbackQRManagement.tsx(249,3): error TS2305: Module '"lucide-react"' has no exported member 'GitBranchBlame'.
src/pages/FeedbackQRManagement.tsx(250,3): error TS2724: '"lucide-react"' has no exported member named 'GitBranchLog'. Did you mean 'GitBranch'?
src/pages/FeedbackQRManagement.tsx(251,3): error TS2724: '"lucide-react"' has no exported member named 'GitBranchDiff'. Did you mean 'GitBranch'?
src/pages/FeedbackQRManagement.tsx(252,3): error TS2305: Module '"lucide-react"' has no exported member 'GitBranchPatch'.
src/pages/FeedbackQRManagement.tsx(253,3): error TS2724: '"lucide-react"' has no exported member named 'GitBranchApply'. Did you mean 'GitBranchPlus'?
src/pages/FeedbackQRManagement.tsx(254,3): error TS2305: Module '"lucide-react"' has no exported member 'GitBranchStash'.
src/pages/FeedbackQRManagement.tsx(255,3): error TS2724: '"lucide-react"' has no exported member named 'GitBranchPop'. Did you mean 'GitBranch'?
src/pages/FeedbackQRManagement.tsx(256,3): error TS2300: Duplicate identifier 'GitBranchDropStash'.
src/pages/FeedbackQRManagement.tsx(256,3): error TS2305: Module '"lucide-react"' has no exported member 'GitBranchDropStash'.
src/pages/FeedbackQRManagement.tsx(257,3): error TS2305: Module '"lucide-react"' has no exported member 'GitBranchListStash'.
src/pages/FeedbackQRManagement.tsx(258,3): error TS2305: Module '"lucide-react"' has no exported member 'GitBranchShowStash'.
src/pages/FeedbackQRManagement.tsx(259,3): error TS2305: Module '"lucide-react"' has no exported member 'GitBranchClearStash'.
src/pages/FeedbackQRManagement.tsx(260,3): error TS2305: Module '"lucide-react"' has no exported member 'GitBranchCreateStash'.
src/pages/FeedbackQRManagement.tsx(261,3): error TS2305: Module '"lucide-react"' has no exported member 'GitBranchSaveStash'.
src/pages/FeedbackQRManagement.tsx(262,3): error TS2305: Module '"lucide-react"' has no exported member 'GitBranchRestoreStash'.
src/pages/FeedbackQRManagement.tsx(263,3): error TS2305: Module '"lucide-react"' has no exported member 'GitBranchDeleteStash'.
src/pages/FeedbackQRManagement.tsx(264,3): error TS2305: Module '"lucide-react"' has no exported member 'GitBranchRenameStash'.
src/pages/FeedbackQRManagement.tsx(265,3): error TS2305: Module '"lucide-react"' has no exported member 'GitBranchMoveStash'.
src/pages/FeedbackQRManagement.tsx(266,3): error TS2305: Module '"lucide-react"' has no exported member 'GitBranchCopyStash'.
src/pages/FeedbackQRManagement.tsx(267,3): error TS2305: Module '"lucide-react"' has no exported member 'GitBranchPasteStash'.
src/pages/FeedbackQRManagement.tsx(268,3): error TS2305: Module '"lucide-react"' has no exported member 'GitBranchCutStash'.
src/pages/FeedbackQRManagement.tsx(269,3): error TS2305: Module '"lucide-react"' has no exported member 'GitBranchDragStash'.
src/pages/FeedbackQRManagement.tsx(270,3): error TS2300: Duplicate identifier 'GitBranchDropStash'.
src/pages/FeedbackQRManagement.tsx(270,3): error TS2305: Module '"lucide-react"' has no exported member 'GitBranchDropStash'.
src/pages/FeedbackQRManagement.tsx(271,3): error TS2305: Module '"lucide-react"' has no exported member 'GitBranchSelectStash'.
src/pages/FeedbackQRManagement.tsx(272,3): error TS2305: Module '"lucide-react"' has no exported member 'GitBranchDeselectStash'.
src/pages/FeedbackQRManagement.tsx(273,3): error TS2305: Module '"lucide-react"' has no exported member 'GitBranchAllStash'.
src/pages/FeedbackQRManagement.tsx(274,3): error TS2305: Module '"lucide-react"' has no exported member 'GitBranchNoneStash'.
src/pages/FeedbackQRManagement.tsx(275,3): error TS2305: Module '"lucide-react"' has no exported member 'GitBranchInvertStash'.
src/pages/FeedbackQRManagement.tsx(276,3): error TS2305: Module '"lucide-react"' has no exported member 'GitBranchExpandStash'.
src/pages/FeedbackQRManagement.tsx(277,3): error TS2305: Module '"lucide-react"' has no exported member 'GitBranchCollapseStash'.
src/pages/FeedbackQRManagement.tsx(278,3): error TS2305: Module '"lucide-react"' has no exported member 'GitBranchSortStash'.
src/pages/FeedbackQRManagement.tsx(279,3): error TS2305: Module '"lucide-react"' has no exported member 'GitBranchFilterStash'.
src/pages/FeedbackQRManagement.tsx(280,3): error TS2305: Module '"lucide-react"' has no exported member 'GitBranchSearchStash'.
src/pages/FeedbackQRManagement.tsx(281,3): error TS2305: Module '"lucide-react"' has no exported member 'GitBranchClearStash'.
src/pages/FeedbackQRManagement.tsx(282,3): error TS2305: Module '"lucide-react"' has no exported member 'GitBranchRefreshStash'.
src/pages/FeedbackQRManagement.tsx(283,3): error TS2305: Module '"lucide-react"' has no exported member 'GitBranchSyncStash'.
src/pages/FeedbackQRManagement.tsx(284,3): error TS2724: '"lucide-react"' has no exported member named 'GitBranchPushStash'. Did you mean 'GitBranchPlus'?
src/pages/FeedbackQRManagement.tsx(285,3): error TS2724: '"lucide-react"' has no exported member named 'GitBranchPullStash'. Did you mean 'GitBranchPlus'?
src/pages/FeedbackQRManagement.tsx(286,3): error TS2305: Module '"lucide-react"' has no exported member 'GitBranchFetchStash'.
src/pages/FeedbackQRManagement.tsx(287,3): error TS2305: Module '"lucide-react"' has no exported member 'GitBranchRebaseStash'.
src/pages/FeedbackQRManagement.tsx(288,3): error TS2305: Module '"lucide-react"' has no exported member 'GitBranchCherryPickStash'.
src/pages/FeedbackQRManagement.tsx(289,3): error TS2305: Module '"lucide-react"' has no exported member 'GitBranchSquashStash'.
src/pages/FeedbackQRManagement.tsx(290,3): error TS2305: Module '"lucide-react"' has no exported member 'GitBranchAmendStash'.
src/pages/FeedbackQRManagement.tsx(291,3): error TS2305: Module '"lucide-react"' has no exported member 'GitBranchResetStash'.
src/pages/FeedbackQRManagement.tsx(292,3): error TS2305: Module '"lucide-react"' has no exported member 'GitBranchRevertStash'.
src/pages/FeedbackQRManagement.tsx(293,3): error TS2305: Module '"lucide-react"' has no exported member 'GitBranchBisectStash'.
src/pages/FeedbackQRManagement.tsx(294,3): error TS2305: Module '"lucide-react"' has no exported member 'GitBranchBlameStash'.
src/pages/FeedbackQRManagement.tsx(295,3): error TS2305: Module '"lucide-react"' has no exported member 'GitBranchLogStash'.
src/pages/FeedbackQRManagement.tsx(296,3): error TS2305: Module '"lucide-react"' has no exported member 'GitBranchDiffStash'.
src/pages/FeedbackQRManagement.tsx(297,3): error TS2305: Module '"lucide-react"' has no exported member 'GitBranchPatchStash'.
src/pages/FeedbackQRManagement.tsx(298,3): error TS2305: Module '"lucide-react"' has no exported member 'GitBranchApplyStash'.
src/pages/FeedbackQRManagement.tsx(1032,116): error TS2552: Cannot find name 'FileTextIcon'. Did you mean 'FileText'?
src/pages/FeedbackQRManagement.tsx(1104,108): error TS2552: Cannot find name 'FileTextIcon'. Did you mean 'FileText'?
src/pages/FeedbackQRManagement.tsx(1333,111): error TS2552: Cannot find name 'FileTextIcon'. Did you mean 'FileText'?
src/services/api.ts(34,64): error TS2339: Property 'ipAddress' does not exist on type 'Window & typeof globalThis'.
